board,solving_time,solver
190,0.5587045000866055,pysat
191,0.637120041064918,pysat
192,0.42459154094103724,pysat
193,0.4616750830318779,pysat
194,0.6585516249760985,pysat
195,0.4279223340563476,pysat
196,0.5177420839900151,pysat
197,0.4347360000247136,pysat
198,0.5682116249809042,pysat
199,0.3691757080378011,pysat
200,0.5165170830441639,pysat
201,0.36514883290510625,pysat
202,0.5532283750362694,pysat
203,0.3014908750774339,pysat
204,0.42415616603102535,pysat
205,0.3981697920244187,pysat
206,0.6637507079867646,pysat
207,0.39299987500999123,pysat
208,0.7801052500726655,pysat
209,0.6506862089736387,pysat
210,0.4670628330204636,pysat
211,8.124321500072256,pysat
212,5.693250959040597,pysat
213,6.746828541974537,pysat
214,7.239427666994743,pysat
215,9.48520204203669,pysat
216,17.975122625008225,pysat
217,4.618303416064009,pysat
218,7.771980541059747,pysat
219,4.774988124961965,pysat
220,6.131799458060414,pysat
221,0.4062228749971837,pysat
222,0.4715526660438627,pysat
223,0.42162787506822497,pysat
224,0.587221333058551,pysat
225,0.681293583009392,pysat
226,6.442775166942738,pysat
227,0.9914225419051945,pysat
228,297.30676475004293,pysat
229,786.2195009579882,pysat
230,2.3246533749625087,pysat
231,0.30062166589777917,pysat
232,0.4196833339519799,pysat
233,0.27560370799619704,pysat
234,0.40292666701134294,pysat
235,0.3649757499806583,pysat
236,0.32692150003276765,pysat
237,0.661850625067018,pysat
238,0.28781966702081263,pysat
239,0.3309490840183571,pysat
240,0.3865542500279844,pysat
241,0.6483027919894084,pysat
242,0.35116383305285126,pysat
243,0.26804604090284556,pysat
244,0.30513691692613065,pysat
245,0.42664712492842227,pysat
246,0.2803144579520449,pysat
247,0.28534645796753466,pysat
248,0.8545541670173407,pysat
249,0.29569979198276997,pysat
250,0.33778733294457197,pysat
251,17.25235750002321,pysat
252,0.6694776670774445,pysat
253,12.369907374959439,pysat
254,0.4246595000149682,pysat
255,3.2378574159229174,pysat
256,2.217926749959588,pysat
257,1.7531912910053506,pysat
258,1.4607243329519406,pysat
259,2.224755458999425,pysat
260,0.27754637494217604,pysat
261,175.69288083398715,pysat
262,208.11185400001705,pysat
263,0.758035916951485,pysat
264,2.752940458012745,pysat
265,0.27972920902539045,pysat
266,0.30981533403974026,pysat
267,0.24213891592808068,pysat
268,0.2809394159121439,pysat
269,0.28037266596220434,pysat
270,0.4458785420283675,pysat
271,0.21891695889644325,pysat
272,0.307438625022769,pysat
273,0.27638454199768603,pysat
274,0.3195779159432277,pysat
275,0.489175415947102,pysat
276,0.2503491250099614,pysat
277,0.4267006670124829,pysat
278,0.37588937499094754,pysat
279,0.4521152919624001,pysat
280,0.47092979098670185,pysat
281,0.6249312909785658,pysat
282,0.36212099995464087,pysat
283,0.5992942079901695,pysat
284,0.3677449160022661,pysat
285,0.3741634999169037,pysat
286,0.339668917004019,pysat
287,0.42313975002616644,pysat
288,0.35390250000637025,pysat
289,0.43060837499797344,pysat
290,0.41434291703626513,pysat
291,1.7607837080722675,pysat
292,1.1262769580353051,pysat
293,1.142279916908592,pysat
294,0.44032166607212275,pysat
295,0.399233250063844,pysat
